"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","isoforest_score"
"Cell1","SeuratProject",34,34,0,-0.0622168716309411
"Cell2","SeuratProject",33,33,0,-0.0529404493752068
"Cell3","SeuratProject",42,42,0,-0.0993157718875632
"Cell4","SeuratProject",36,36,0,-0.0862155507256251
"Cell5","SeuratProject",41,41,0,-0.102402206597157
"Cell6","SeuratProject",41,40,0,-0.140315856156687
"Cell7","SeuratProject",37,37,0,-0.0922958951325496
"Cell8","SeuratProject",36,35,0,-0.100708576765086
"Cell9","SeuratProject",38,36,0,-0.0974043618173572
"Cell10","SeuratProject",49,47,0,-0.0630020960796193
"Cell11","SeuratProject",42,39,0,-0.0904322991265811
"Cell12","SeuratProject",33,32,0,-0.0601384707826172
"Cell13","SeuratProject",44,41,0,-0.0864675835086444
"Cell14","SeuratProject",44,43,0,-0.113107739462977
"Cell15","SeuratProject",38,38,0,-0.120792137682289
"Cell16","SeuratProject",35,34,0,-0.0935100874590804
"Cell17","SeuratProject",37,37,0,-0.0922958951325496
"Cell18","SeuratProject",32,30,0,-0.0274968312766237
"Cell19","SeuratProject",37,36,0,-0.108529277334392
"Cell20","SeuratProject",30,30,0,-0.0135648302487286
"Cell21","SeuratProject",45,44,0,-0.106674781707554
"Cell22","SeuratProject",41,41,0,-0.102402206597157
"Cell24","SeuratProject",46,44,0,-0.0988379931844763
"Cell25","SeuratProject",30,30,0,-0.0135648302487286
"Cell26","SeuratProject",43,43,0,-0.0981113095577119
"Cell27","SeuratProject",42,42,0,-0.0993157718875632
"Cell28","SeuratProject",38,37,0,-0.126165582837422
"Cell29","SeuratProject",30,29,0,0
"Cell30","SeuratProject",33,31,0,-0.0241043576332021
"Cell31","SeuratProject",39,36,0,-0.073145077870989
"Cell32","SeuratProject",40,40,0,-0.114802720065092
"Cell33","SeuratProject",43,42,0,-0.125543566849907
"Cell34","SeuratProject",51,50,0,0.0050407571764014
"Cell35","SeuratProject",37,37,0,-0.0922958951325496
"Cell36","SeuratProject",41,40,0,-0.140315856156687
"Cell37","SeuratProject",33,32,0,-0.0601384707826172
"Cell38","SeuratProject",47,46,0,-0.0721330105042981
"Cell39","SeuratProject",36,35,0,-0.100708576765086
"Cell40","SeuratProject",41,38,0,-0.0812969822485509
"Cell42","SeuratProject",30,30,0,-0.0135648302487286
"Cell43","SeuratProject",42,41,0,-0.132104934029768
"Cell45","SeuratProject",40,40,0,-0.114802720065092
"Cell46","SeuratProject",41,39,0,-0.11922676566074
"Cell47","SeuratProject",35,33,0,-0.0550630612165877
"Cell48","SeuratProject",52,51,0,0.0335827052682939
"Cell49","SeuratProject",40,39,0,-0.119672188357454
"Cell50","SeuratProject",33,32,0,-0.0601384707826172
"Cell51","SeuratProject",37,35,0,-0.0848603016289688
"Cell52","SeuratProject",35,35,0,-0.0750453438428789
"Cell53","SeuratProject",35,32,0,-0.0245241720850684
"Cell54","SeuratProject",51,49,0,-0.00111293731515005
"Cell55","SeuratProject",43,41,0,-0.120547462383493
"Cell56","SeuratProject",36,35,0,-0.100708576765086
"Cell57","SeuratProject",46,45,0,-0.104447736368418
"Cell58","SeuratProject",33,32,0,-0.0601384707826172
"Cell59","SeuratProject",46,44,0,-0.0988379931844763
"Cell60","SeuratProject",33,33,0,-0.0529404493752068
"Cell61","SeuratProject",53,50,0,0.0271321817211436
"Cell62","SeuratProject",42,42,0,-0.0993157718875632
"Cell63","SeuratProject",42,42,0,-0.0993157718875632
"Cell64","SeuratProject",34,34,0,-0.0622168716309411
"Cell65","SeuratProject",41,41,0,-0.102402206597157
"Cell66","SeuratProject",34,31,0,-0.0120128554450388
"Cell67","SeuratProject",48,46,0,-0.0694425359921111
"Cell68","SeuratProject",51,48,0,0.00212568939759405
"Cell69","SeuratProject",44,42,0,-0.1108684007134
"Cell70","SeuratProject",43,43,0,-0.0981113095577119
"Cell71","SeuratProject",37,33,0,-0.024258494805704
"Cell72","SeuratProject",42,41,0,-0.132104934029768
"Cell73","SeuratProject",37,36,0,-0.108529277334392
"Cell75","SeuratProject",45,44,0,-0.106674781707554
"Cell76","SeuratProject",48,44,0,-0.04542801048435
"Cell77","SeuratProject",42,42,0,-0.0993157718875632
"Cell78","SeuratProject",41,41,0,-0.102402206597157
"Cell79","SeuratProject",40,40,0,-0.114802720065092
"Cell80","SeuratProject",50,47,0,-0.0219135541627762
"Cell81","SeuratProject",40,40,0,-0.114802720065092
"Cell82","SeuratProject",42,42,0,-0.0993157718875632
"Cell83","SeuratProject",33,33,0,-0.0529404493752068
"Cell84","SeuratProject",41,41,0,-0.102402206597157
"Cell85","SeuratProject",48,46,0,-0.0694425359921111
"Cell86","SeuratProject",39,38,0,-0.125911316796102
"Cell87","SeuratProject",44,44,0,-0.0717491333856407
"Cell89","SeuratProject",39,39,0,-0.106535913508881
"Cell90","SeuratProject",37,37,0,-0.0922958951325496
"Cell91","SeuratProject",39,38,0,-0.125911316796102
"Cell93","SeuratProject",40,40,0,-0.114802720065092
"Cell94","SeuratProject",43,42,0,-0.125543566849907
"Cell95","SeuratProject",45,43,0,-0.1094791302964
"Cell96","SeuratProject",31,29,0,-0.00139861083737891
"Cell97","SeuratProject",32,32,0,-0.0454481190212956
"Cell98","SeuratProject",36,35,0,-0.100708576765086
"Cell99","SeuratProject",39,39,0,-0.106535913508881
"Cell100","SeuratProject",41,41,0,-0.102402206597157
"Cell101","SeuratProject",39,37,0,-0.108202743211851
"Cell102","SeuratProject",36,36,0,-0.0862155507256251
"Cell103","SeuratProject",41,40,0,-0.140315856156687
"Cell104","SeuratProject",35,34,0,-0.0935100874590804
"Cell105","SeuratProject",48,48,0,-0.0267241480606816
"Cell107","SeuratProject",42,41,0,-0.132104934029768
"Cell108","SeuratProject",41,40,0,-0.140315856156687
"Cell109","SeuratProject",40,38,0,-0.10362894103794
"Cell110","SeuratProject",45,45,0,-0.089304337797713
"Cell111","SeuratProject",40,40,0,-0.114802720065092
"Cell112","SeuratProject",31,30,0,-0.0441057965385686
"Cell113","SeuratProject",36,33,0,-0.042519340089826
"Cell114","SeuratProject",48,44,0,-0.04542801048435
"Cell115","SeuratProject",32,31,0,-0.0437250879906633
"Cell116","SeuratProject",38,37,0,-0.126165582837422
"Cell117","SeuratProject",35,34,0,-0.0935100874590804
"Cell118","SeuratProject",43,43,0,-0.0981113095577119
"Cell119","SeuratProject",45,43,0,-0.1094791302964
"Cell120","SeuratProject",34,32,0,-0.0423829633623423
"Cell121","SeuratProject",45,41,0,-0.0576559680867131
"Cell122","SeuratProject",37,36,0,-0.108529277334392
"Cell123","SeuratProject",42,42,0,-0.0993157718875632
"Cell124","SeuratProject",43,40,0,-0.0905215712775407
"Cell126","SeuratProject",36,34,0,-0.083049093154336
"Cell127","SeuratProject",35,34,0,-0.0935100874590804
"Cell128","SeuratProject",50,46,0,0.00937021229249113
"Cell129","SeuratProject",47,45,0,-0.0821044824376019
"Cell130","SeuratProject",42,40,0,-0.116251208275036
"Cell131","SeuratProject",40,37,0,-0.0752335669708093
"Cell132","SeuratProject",44,43,0,-0.113107739462977
"Cell133","SeuratProject",42,42,0,-0.0993157718875632
"Cell135","SeuratProject",34,34,0,-0.0622168716309411
"Cell136","SeuratProject",39,37,0,-0.108202743211851
"Cell137","SeuratProject",50,48,0,-0.0261396818470294
"Cell139","SeuratProject",33,33,0,-0.0529404493752068
"Cell140","SeuratProject",48,47,0,-0.0546278183463105
"Cell141","SeuratProject",39,38,0,-0.125911316796102
